1
3 2 3 8 11 114
4 2 17 20 10 7 94
4 9 17 20 10 7 94
4 2 17 18 10 7 94
4 2 17 20 10 7 94
4 2 18 20 10 7 94
4 17 18 20 10 7 94
3 2 9 11 17 93
4 9 17 20 10 2 92
4 17 18 20 10 2 92
3 7 9 19 20 91
3 7 18 19 20 91
3 7 15 18 19 91
4 1 3 9 19 7 91
4 1 3 15 19 7 91
4 1 9 15 19 7 91
4 3 9 15 19 7 91
3 2 5 18 20 90
3 5 12 16 18 90
3 2 5 16 18 90
4 4 12 20 18 5 90
2 8 11 13 89
4 2 6 9 16 1 88
4 3 6 9 16 1 88
4 3 6 13 16 1 88
4 3 6 19 16 1 88
4 3 9 13 16 1 88
4 3 9 19 16 1 88
4 3 13 19 16 1 88
4 6 9 13 16 1 88
4 6 9 19 16 1 88
4 6 13 19 16 1 88
4 9 13 19 16 1 88
2 2 5 20 87
4 7 9 17 20 2 87
4 7 17 18 20 2 87
3 9 10 19 20 86
3 10 12 13 19 86
4 3 9 13 19 10 86
4 12 18 20 19 10 86
4 10 18 20 17 4 85
3 1 2 6 9 84
3 1 2 7 9 84
3 1 2 6 14 84
3 10 17 18 20 83
3 9 10 17 20 83
2 9 19 20 82
3 12 18 19 20 82
2 1 6 14 81
2 2 6 14 81
3 4 5 12 20 80
3 12 16 18 19 79
4 4 10 20 18 12 79
3 2 6 9 16 78
4 3 6 13 16 9 78
4 3 6 19 16 9 78
4 3 13 19 16 9 78
4 6 13 19 16 9 78
3 3 9 10 13 77
2 9 11 13 77
4 1 3 6 13 9 77
4 1 3 15 13 9 77
4 1 3 19 13 9 77
4 1 6 15 13 9 77
4 1 6 19 13 9 77
4 1 15 19 13 9 77
4 3 6 15 13 9 77
4 3 6 19 13 9 77
4 3 15 19 13 9 77
4 6 15 19 13 9 77
1 1 14 76
3 2 7 9 17 75
3 2 7 17 18 75
3 2 14 17 18 75
2 4 5 12 74
4 6 13 16 12 5 74
1 4 5 73
2 10 12 13 72
4 6 16 19 13 12 72
3 6 12 16 19 71
4 1 9 15 7 3 70
4 3 6 9 19 1 69
4 3 6 15 19 1 69
4 3 9 15 19 1 69
4 6 9 15 19 1 69
4 3 6 13 19 1 69
4 3 6 15 19 1 69
4 3 13 15 19 1 69
4 6 13 15 19 1 69
2 2 5 11 68
2 5 11 13 68
4 1 3 6 15 9 67
4 3 6 19 15 9 67
3 1 7 9 15 67
4 3 6 15 13 1 66
3 7 9 17 20 65
3 7 17 18 20 65
2 12 16 19 64
2 3 8 13 63
4 6 13 19 16 3 62
2 7 9 17 61
2 7 17 18 61
2 3 9 10 60
2 9 10 20 60
2 2 7 18 59
2 2 14 18 59
2 2 16 18 59
2 9 17 20 58
3 1 3 6 15 57
3 1 3 6 9 57
1 11 13 56
2 17 18 20 55
2 1 7 15 54
2 7 15 18 54
2 1 7 9 53
1 7 18 52
2 14 17 18 51
4 3 13 19 15 6 50
2 2 7 9 49
2 2 6 9 49
2 2 9 11 49
3 3 6 13 19 48
3 3 13 15 19 48
3 6 13 16 19 48
3 4 10 12 20 47
3 4 10 18 20 47
1 3 8 46
1 14 18 45
2 3 15 19 44
2 15 18 19 44
2 3 10 13 43
2 1 3 15 42
3 2 5 6 16 41
1 15 18 40
2 2 6 16 39
1 17 18 38
3 5 6 13 16 37
2 16 18 19 36
2 3 13 15 35
1 16 18 34
1 2 16 33
1 9 11 32
2 5 6 16 31
2 6 16 19 31
2 4 12 20 30
2 10 12 20 30
2 3 6 13 29
3 3 6 9 19 29
1 2 14 28
2 5 6 13 27
2 3 9 19 26
1 16 19 25
1 6 13 24
1 2 11 23
1 3 13 22
2 10 18 20 21
1 12 19 20
1 5 16 19
1 9 20 18
1 2 7 17
1 10 13 16
2 1 3 9 15
1 7 9 14
1 4 12 13
1 10 12 12
2 6 9 19 11
2 4 18 20 10
1 5 13 9
1 4 20 8
1 9 19 7
1 3 15 6
1 6 19 5
1 18 20 4
1 10 20 3
1 3 9 2
1 1 3 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
